Comment,Designator,Footprint,LCSC,Quantity
0,R44,R_0402_1005Metric,C17168,1
0.1u,"C13,C14,C15,C72,C73,C74,C75,C76,C77,C78,C79,C80",C_0603_1608Metric,C125205,12
0.1u,C41,C_0402_1005Metric,C141382,1
0.47u,"C54,C55,C56,C57,C58,C59,C63,C65",C_0603_1608Metric,C77572,8
10,"R101,R86,R87,R88,R89,R90,R91,R99",R_0402_1005Metric,C25077,8
100n,"C27,C30,C31,C32,C33,C34,C35,C36,C37,C40",C_0402_1005Metric,C56392,10
10K,"R2,R4,R6",R_0402_1005Metric,C25531,3
10k,"R23,R25,R27,R31,R37,R45,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R59,R60,R61",R_0402_1005Metric,C25744,19
10n,"C8,C9",C_0402_1005Metric,C1524,2
10p,"C16,C18",C_0603_1608Metric,C1634,2
10u,"C19,C21,C22,C24,C66,C67,C68,C69,C70,C71",C_1210_3225Metric,C18739,10
10u,"C42,C43,C44,C45,C46,C47,C60,C61",C_0603_1608Metric,C194427,8
10uH,U9,IND-SMD_L7.2-W6.6_GPSR07X0,C5189958,1
110k,"R28,R29",R_0402_1005Metric,C25532,2
150k,"R74,R75,R76,R77,R78,R79,R94,R97",R_0402_1005Metric,C25755,8
15k,"R10,R11,R12,R16,R17,R18,R19,R20,R21",R_0402_1005Metric,C25539,9
15p,"C38,C39",C_0402_1005Metric,C1548,2
196k,R33,R_0402_1005Metric,C26996,1
1M,"R35,R36",R_0402_1005Metric,C26083,2
1k,"R39,R46,R7,R8,R9",R_0402_1005Metric,C100195,5
1u,"C10,C11,C12,C7",C_0402_1005Metric,C14445,4
2.54mm Header,J1,PinHeader_1x03_P2.54mm_Vertical,C49257,1
200k,"R100,R22,R24,R26,R80,R81,R82,R83,R84,R85,R98",R_0402_1005Metric,C25764,11
220n,"C1,C2,C3",C_0603_1608Metric,C64705,3
22u,"C20,C23",C_01005_0402Metric,C3845593,2
27,"R40,R41",R_0402_1005Metric,C25100,2
3.3u,L2,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,C42411119,1
33,R38,R_0402_1005Metric,C25105,1
330,R42,R_0402_1005Metric,C25104,1
33K,"R1,R3,R5",R_0402_1005Metric,C25555,3
33uH,SW1,IND-SMD_L13.5-W12.6,C2880058,1
34k,"R63,R65,R67,R69,R71,R73,R93,R96",R_0402_1005Metric,C48939,8
4.7k,"R13,R14,R15",R_0402_1005Metric,C25900,3
4.7p,C17,C_0603_1608Metric,C1669,1
4.7u,"C25,C26,C28,C29",C_0402_1005Metric,C191541,4
4.7u,"C4,C48,C49,C5,C50,C51,C52,C53,C6,C62,C64",C_0603_1608Metric,C907729,11
41.2K,R30,R_0402_1005Metric,C26978,1
412k,R32,R_0402_1005Metric,C27008,1
5.1k,"R57,R58",R_0402_1005Metric,C25905,2
8.2u,L1,L1210,C318062,1
866k,"R62,R64,R66,R68,R70,R72,R92,R95",R_0402_1005Metric,C27020,8
88.7K,R34,R_0402_1005Metric,C25922,1
ABM8-272-T3_C20625731,U11,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C20625731,1
BAS21,"D1,D2,D3",SOT-23,C181108,3
DF11-18DP-2DSA,CN6,CONN-TH_18P-P2.00_HCTL_HC-PHD-2X9A,C17674545,1
ESTOP,U16,CONN-TH_P5.00_KF301-5.0-2P,C474881,1
FC-2012UGK-520D5,LED1,LED0805-R-RD,C84260,1
INA780BIDEKR,"U1,U25,U26,U27,U28,U29,U30,U33,U34",VQFN-15_L6.0-W6.0-P0.60-TL,C34740774,9
IPT007N06N,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8",HSOF-8_IPT007N06N,C122552,8
KMR2,SW2,SW_Push_1P1T_NO_CK_KMR2,C72443,1
LT8612EUDE#TRPBF,"U6,U7,U8",QFN-28_L6.0-W3.0-P0.50-BL-EP,C462617,3
LTC7001IMSE#PBF,"U19,U20,U21,U22,U23,U24,U31,U32",MSOP-10_L3.0-W3.0-P0.50-LS4.9-BL-EP,C581062,8
MBR30200CT,"D10,D11,D4,D5,D6,D7,D8,D9",TO-220-3_L10.0-W4.5-P2.54-L-1,C698801,8
MCP9808T-E/MS,"U2,U35,U36",MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL,C129490,3
RESET SW,SW3,SW_Push_1P1T_NO_CK_KMR2,C72443,1
RP2350A_C42411118,U10,QFN-60_L7.0-W7.0-P0.40-TL-EP3.4,C42411118,1
SN74LVC08APWR,"U17,U18",TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,C465737,2
TCA4307DGKR,"U13,U14",VSSOP-8_L3.0-W3.0-P0.65-LS4.9-BL,C880333,2
TPS1HA08BQPWPRQ1,"U3,U4,U5",HTSSOP-16_L5.0-W4.4-P0.65-LS6.4-TL-EP2.9,C2150178,3
TXS0108EPWR,U15,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,C17206,1
TYPE-C 16PIN 2MD,USB1,USB-C-SMD_TYPE-C-16PIN-2MD-073,C2765186,1
W25Q128JVSIQTR,U12,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,C97521,1
XT60PW-M,"CN10,CN11,CN12,CN13,CN14,CN15,CN16,CN17,CN18,CN2,CN3,CN4,CN5",CONN-TH_XT60PW-M,C98732,13
XT90PW-M.G.Y,"CN1,CN7,CN8,CN9",CONN-TH_XT90PW-M.G.Y,C3040689,4
TestPoint,TP6,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,,1
