Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220n,C_0603_1608Metric,59.64,-84.9,90.0,top
C10,1u,C_0402_1005Metric,70.84,-90.58,0.0,top
C11,1u,C_0402_1005Metric,81.365,-93.6,-90.0,top
C12,1u,C_0402_1005Metric,96.602,-94.534,180.0,top
C13,0.1u,C_0603_1608Metric,66.19,-94.3,-90.0,top
C14,0.1u,C_0603_1608Metric,79.765,-93.995,90.0,top
C15,0.1u,C_0603_1608Metric,97.122,-93.234,180.0,top
C16,10p,C_0603_1608Metric,71.39,-91.9,180.0,top
C17,4.7p,C_0603_1608Metric,85.465,-91.62,180.0,top
C18,10p,C_0603_1608Metric,100.497,-93.234,0.0,top
C19,10u,C_1210_3225Metric,69.365,-95.4,0.0,top
C2,220n,C_0603_1608Metric,86.514,-87.5952,-90.0,top
C20,22u,C_0402_1005Metric,83.0326,-93.0006,0.0,top
C21,10u,C_1210_3225Metric,104.04,-95.012,90.0,top
C22,10u,C_1210_3225Metric,69.315,-98.75,0.0,top
C23,22u,C_0402_1005Metric,83.0326,-94.0054,0.0,top
C24,10u,C_1210_3225Metric,107.596,-95.012,90.0,top
C25,4.7u,C_0402_1005Metric,90.324,-108.812,0.0,top
C26,4.7u,C_0402_1005Metric,78.655,-102.73,180.0,top
C27,100n,C_0402_1005Metric,78.675,-103.73,180.0,top
C28,4.7u,C_0402_1005Metric,78.633,-106.916,180.0,top
C29,4.7u,C_0402_1005Metric,78.655,-104.73,180.0,top
C3,220n,C_0603_1608Metric,92.132,-89.004,180.0,top
C30,100n,C_0402_1005Metric,78.635,-105.73,180.0,top
C31,100n,C_0402_1005Metric,90.324,-101.612,0.0,top
C32,100n,C_0402_1005Metric,90.324,-102.672,0.0,top
C33,100n,C_0402_1005Metric,90.324,-103.712,0.0,top
C34,100n,C_0402_1005Metric,90.324,-104.712,0.0,top
C35,100n,C_0402_1005Metric,90.324,-105.712,0.0,top
C36,100n,C_0402_1005Metric,90.324,-106.712,0.0,top
C37,100n,C_0402_1005Metric,90.324,-107.712,0.0,top
C38,15p,C_0402_1005Metric,84.34,-97.9725,-90.0,top
C39,15p,C_0402_1005Metric,83.64,-96.3725,0.0,top
C4,4.7u,C_0603_1608Metric,52.9,-88.0,90.0,top
C40,100n,C_0402_1005Metric,90.9508,-117.7937,90.0,top
C41,0.1u,C_0402_1005Metric,89.910798,-117.7937,-90.0,top
C42,10u,C_0603_1608Metric,195.085,-61.02,0.0,top
C43,10u,C_0603_1608Metric,215.6084,-61.008,0.0,top
C44,10u,C_0603_1608Metric,236.328,-61.0656,0.0,top
C45,10u,C_0603_1608Metric,243.317188,-104.404968,180.0,top
C46,10u,C_0603_1608Metric,222.716588,-104.480568,180.0,top
C47,10u,C_0603_1608Metric,202.219988,-104.435368,180.0,top
C48,4.7u,C_0603_1608Metric,196.975,-68.95,180.0,top
C49,4.7u,C_0603_1608Metric,217.4984,-68.938,180.0,top
C5,4.7u,C_0603_1608Metric,75.815,-87.72,90.0,top
C50,4.7u,C_0603_1608Metric,238.218,-68.9956,180.0,top
C51,4.7u,C_0603_1608Metric,241.427188,-96.474968,0.0,top
C52,4.7u,C_0603_1608Metric,220.826588,-96.550568,0.0,top
C53,4.7u,C_0603_1608Metric,200.329988,-96.505368,0.0,top
C54,0.47u,C_0603_1608Metric,194.76,-66.62,90.0,top
C55,0.47u,C_0603_1608Metric,215.2834,-66.608,90.0,top
C56,0.47u,C_0603_1608Metric,236.003,-66.6656,90.0,top
C57,0.47u,C_0603_1608Metric,243.642188,-98.804968,-90.0,top
C58,0.47u,C_0603_1608Metric,223.041588,-98.880568,-90.0,top
C59,0.47u,C_0603_1608Metric,202.544988,-98.835368,-90.0,top
C6,4.7u,C_0603_1608Metric,92.132,-90.604,180.0,top
C60,10u,C_0603_1608Metric,144.934,-84.0645,90.0,top
C61,10u,C_0603_1608Metric,170.588,-84.852,90.0,top
C62,4.7u,C_0603_1608Metric,147.982,-91.075,180.0,top
C63,0.47u,C_0603_1608Metric,132.234,-91.6715,180.0,top
C64,4.7u,C_0603_1608Metric,173.6615,-91.732,180.0,top
C65,0.47u,C_0603_1608Metric,157.2276,-92.1672,180.0,top
C66,10u,C_1210_3225Metric,171.43318,-99.354806,90.0,top
C67,10u,C_1210_3225Metric,152.3,-98.6275,90.0,top
C68,10u,C_1210_3225Metric,174.78832,-99.326618,90.0,top
C69,10u,C_1210_3225Metric,145.696,-98.5785,90.0,top
C7,1u,C_0402_1005Metric,70.84,-89.55,0.0,top
C70,10u,C_1210_3225Metric,178.1955,-99.308,90.0,top
C71,10u,C_1210_3225Metric,148.998,-98.5785,90.0,top
C72,0.1u,C_0603_1608Metric,54.002,-85.614,0.0,top
C73,0.1u,C_0603_1608Metric,230.942188,-101.984968,90.0,top
C74,0.1u,C_0603_1608Metric,248.703,-63.4856,-90.0,top
C75,0.1u,C_0603_1608Metric,227.9834,-63.428,-90.0,top
C76,0.1u,C_0603_1608Metric,207.46,-63.44,-90.0,top
C77,0.1u,C_0603_1608Metric,210.341588,-102.060568,90.0,top
C78,0.1u,C_0603_1608Metric,189.844988,-102.015368,90.0,top
C79,0.1u,C_0603_1608Metric,143.156,-97.7545,-90.0,top
C8,10n,C_0402_1005Metric,84.415,-89.77,-90.0,top
C80,0.1u,C_0603_1608Metric,168.7975,-98.533,-90.0,top
C9,10n,C_0402_1005Metric,102.622,-88.634,0.0,top
CN1,XT90PW-M.G.Y,CONN-TH_XT90PW-M.G.Y,67.205,-62.1825,0.0,top
CN10,XT60PW-M,CONN-TH_XT60PW-M,199.925,-54.95,-90.0,top
CN11,XT60PW-M,CONN-TH_XT60PW-M,220.547,-54.95,-90.0,top
CN12,XT60PW-M,CONN-TH_XT60PW-M,241.168,-54.95,-90.0,top
CN13,XT60PW-M,CONN-TH_XT60PW-M,238.477,-110.8,90.0,top
CN14,XT60PW-M,CONN-TH_XT60PW-M,217.877,-110.8,90.0,top
CN15,XT60PW-M,CONN-TH_XT60PW-M,197.38,-110.8,90.0,top
CN16,XT60PW-M,CONN-TH_XT60PW-M,146.56,-110.8,90.0,top
CN17,XT60PW-M,CONN-TH_XT60PW-M,163.12,-110.8,90.0,top
CN18,XT60PW-M,CONN-TH_XT60PW-M,179.87,-110.8,90.0,top
CN2,XT60PW-M,CONN-TH_XT60PW-M,64.275,-110.775,90.0,top
CN3,XT60PW-M,CONN-TH_XT60PW-M,47.665,-110.8,90.0,top
CN4,XT60PW-M,CONN-TH_XT60PW-M,113.265,-110.8,90.0,top
CN5,XT60PW-M,CONN-TH_XT60PW-M,129.715,-110.8,90.0,top
CN6,DF11-18DP-2DSA,CONN-TH_18P-P2.00_HCTL_HC-PHD-2X9A,94.452,-121.92,0.0,top
CN7,XT90PW-M.G.Y,CONN-TH_XT90PW-M.G.Y,175.155,-62.1825,0.0,top
CN8,XT90PW-M.G.Y,CONN-TH_XT90PW-M.G.Y,103.188,-62.1825,0.0,top
CN9,XT90PW-M.G.Y,CONN-TH_XT90PW-M.G.Y,139.172,-62.1825,0.0,top
D1,BAS21,SOT-23,60.352,-81.55,90.0,top
D10,MBR30200CT,TO-220-3_L10.0-W4.5-P2.54-L-1,138.756,-80.0015,0.0,top
